file_name,signal_mean,signal_std,rmse_mean,zcr_mean,tempo_bpm,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,attack_id,label
LA_T_3061594.flac,5.345985e-07,0.10816446,0.07468886,0.1905691964285714,208.33333333333331,-312.53873,138.84264,56.78747,41.417625,17.97126,37.47963,23.10496,31.787373,-11.034811,31.200724,-11.2459135,12.474891,-19.47293,17.337435,-19.07364,10.507972,-16.901596,14.901718,-23.413643,10.202027,-11.324099,9.6918335,-7.825461,9.406379,-8.678631,13.605813,2043.888512904174,1899.4557826658552,3892.146915584416,A05,spoof
LA_T_7962577.flac,3.4535222e-07,0.103353575,0.07045869,0.1706907776580459,144.23076923076923,-301.3,119.870255,81.382195,41.269665,-0.5321183,41.526356,13.075932,29.837896,-13.726774,29.12642,-11.07533,17.717573,-24.619583,18.342812,-22.643501,11.237111,-13.786464,15.81184,-23.366264,8.614391,-6.958076,9.151941,-6.0204988,8.744869,-6.847962,11.300605,1651.4309196355025,1653.2698627983573,3118.085488505747,A05,spoof
LA_T_3957432.flac,1.93113e-06,0.10108114,0.088912204,0.1762440240205224,156.25,-243.31036,97.63568,76.55539,65.01121,-23.481285,52.839245,22.937607,36.632187,-39.279827,28.014366,-13.23911,16.820923,-23.01886,14.99238,-22.643295,16.418667,-10.351169,13.473513,-21.142305,10.212487,-12.402863,8.047446,-7.397175,10.263946,-9.625643,8.726583,1927.0237335127863,1468.1158060902371,3424.2653917910447,A01,spoof
LA_T_3831604.flac,-8.387528e-08,0.1284159,0.087181546,0.1034519361413043,144.23076923076923,-305.7224,126.561966,75.062965,50.95626,3.1620045,30.61356,9.6025915,27.384394,-8.60197,28.385298,-4.222674,13.733014,-15.7163315,18.994268,-18.478685,18.509298,-12.554447,16.217014,-7.4413176,12.388599,-5.776741,12.504146,-5.313084,9.127855,-0.3966759,6.969688,1481.9751742710148,1568.1081579772444,2978.0570652173915,-,bonafide
LA_T_6859654.flac,2.2212726e-06,0.11294966,0.073004805,0.1546303353658536,72.11538461538461,-286.58536,139.37611,59.199482,47.85156,-0.37069196,31.872961,16.298208,21.622185,-3.8316512,17.182503,0.5065474,14.347019,-19.877558,22.490765,-10.526781,16.513304,-10.678952,14.256451,-9.378986,11.1882,-12.614447,12.322543,-5.562899,10.660631,0.294378,6.7555594,1944.4574966225653,1789.2087206095744,3831.3643292682927,-,bonafide
LA_T_9411213.flac,1.522528e-07,0.08276122,0.049215376,0.0804830411585365,89.28571428571429,-385.18765,162.91237,66.97084,52.91251,-3.4691958,41.44335,36.536007,39.978226,3.2275896,11.478057,-12.102616,16.57729,-4.924731,10.656448,-20.311361,15.7304325,-13.013526,5.6057963,-14.006688,11.031564,-8.824287,5.408325,-2.8192136,5.6635756,-7.2210164,6.2923594,1359.7601800459613,1579.125438559218,2921.589176829268,A02,spoof
LA_T_4400269.flac,3.6316706e-07,0.12871835,0.08005869,0.112611832157258,93.75,-315.43317,159.36745,60.580906,42.862003,-15.950493,51.207623,28.84731,29.670471,-14.892124,30.457495,-3.8534055,17.524826,-14.785034,20.446419,-13.409621,15.320776,-5.924464,13.189283,-13.171507,16.004648,7.0416484,11.318917,-3.9830322,10.163953,-1.3563982,6.4290266,1782.40408256026,1707.3118193029372,3674.14314516129,-,bonafide
LA_T_4778437.flac,-8.952937e-09,0.0964417,0.056202408,0.0879842122395833,104.16666666666669,-380.24332,168.45213,41.06921,44.001484,3.1267006,29.226372,20.33769,26.254177,-4.4805584,24.003613,-0.70365024,19.277632,-2.987197,16.74401,-10.605261,21.421846,-5.318344,16.653803,-11.321398,18.789988,-1.60263,9.921721,-2.108313,6.3783116,-1.4677441,5.952264,1667.7179023870744,1851.6574044964264,3630.4036458333335,-,bonafide
LA_T_2815613.flac,-1.2978472e-08,0.10911548,0.07665073,0.1447541610054347,170.45454545454547,-298.50946,153.61002,60.59493,54.536816,7.3537617,28.497637,15.118303,27.474146,-1.9253973,22.557941,-9.724198,22.00004,-4.1723533,15.28892,-17.509762,17.896528,-8.716765,13.904328,-6.185032,9.720852,-13.039191,12.5227785,-7.2861195,9.619494,-8.851412,8.758924,2004.9268884458145,1845.9954566394188,3987.092391304348,-,bonafide
LA_T_6216316.flac,-4.0365686e-07,0.10500252,0.071997754,0.104248046875,98.6842105263158,-325.71454,171.39159,74.09578,58.362453,3.737752,34.468937,5.4187064,25.181946,-6.3908606,23.127796,-8.455055,20.748962,-1.6625323,15.12203,-12.929103,21.17641,-3.6653876,11.78578,-8.231141,11.146302,-9.046058,10.951761,-3.9886348,9.006377,-9.702721,9.39275,1685.4713876866829,1753.6359221728812,3460.143008474576,-,bonafide
